Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
1979, ecoregion1, 1, 142.62, 14.46, 60, 285, 0, 
1980, ecoregion1, 1, 106.64, 14.7, 64, 282, 0, 
1981, ecoregion1, 1, 99.19, 14.34, 63, 290, 0, 
1982, ecoregion1, 1, 126.63, 15.01, 0, 320, 0, 
1983, ecoregion1, 1, 124.96, 14.6, 52, 304, 0, 
1984, ecoregion1, 1, 123.88, 15.09, 0, 293, 0, 
1985, ecoregion1, 1, 118.35, 15.29, 50, 321, 0, 
1986, ecoregion1, 1, 89.07, 15.68, 26, 321, 0, 
1987, ecoregion1, 1, 119.51, 15.02, 57, 270, 0, 
1988, ecoregion1, 1, 94.58, 14.25, 58, 273, 0, 
1989, ecoregion1, 1, 146, 14.72, 46, 309, 0, 
1990, ecoregion1, 1, 125.48, 16.43, 0, 308, 0, 
1991, ecoregion1, 1, 110.55, 15.89, 0, 304, 0, 
1992, ecoregion1, 1, 125.81, 14.63, 20, 284, 0, 
1993, ecoregion1, 1, 113.53, 14.96, 59, 289, 0, 
1994, ecoregion1, 1, 117.39, 15.04, 51, 347, 0, 
1995, ecoregion1, 1, 135.17, 14.85, 52, 294, 0, 
1996, ecoregion1, 1, 131.03, 14.34, 61, 294, 0, 
1997, ecoregion1, 1, 112.17, 14.45, 28, 298, 0, 
1998, ecoregion1, 1, 125.02, 16, 0, 315, 0, 
1999, ecoregion1, 1, 114.97, 15.35, 40, 321, 0, 
2000, ecoregion1, 1, 99.41, 14.56, 44, 287, 0, 
2001, ecoregion1, 1, 89.04, 15.24, 0, 285, 0, 
2002, ecoregion1, 1, 114.34, 15.55, 53, 300, 0, 
2003, ecoregion1, 1, 153.73, 14.73, 48, 321, 0, 
2004, ecoregion1, 1, 117.54, 15.22, 51, 315, 0, 
2005, ecoregion1, 1, 107.97, 15.32, 39, 307, 0, 
2006, ecoregion1, 1, 117.91, 15.59, 52, 329, 0, 
2007, ecoregion1, 1, 80.49, 16.01, 55, 299, 0, 
2008, ecoregion1, 1, 109.98, 15.05, 0, 284, 0, 
2009, ecoregion1, 1, 128.01, 14.9, 49, 321, 0, 
2010, ecoregion1, 1, 109.93, 15.1, 58, 302, 0, 
2011, ecoregion1, 1, 109.29, 16.25, 45, 281, 0, 
2012, ecoregion1, 1, 101.82, 16.69, 0, 292, 0, 
2013, ecoregion1, 1, 135.26, 14.98, 73, 292, 0, 
2014, ecoregion1, 1, 114.88, 14.38, 75, 292, 0, 
2015, ecoregion1, 1, 130.43, 15.66, 62, 365, 0, 
2016, ecoregion1, 1, 109.86, 15.91, 45, 302, 0, 
2017, ecoregion1, 1, 114.63, 15.95, 19, 301, 0, 
2018, ecoregion1, 1, 174.08, 15.6, 0, 300, 0, 
2019, ecoregion1, 1, 129.77, 16.11, 0, 296, 0, 
2020, ecoregion1, 1, 172.85, 15.88, 21, 319, 0, 
2021, ecoregion1, 1, 109.14, 15.66, 46, 294, 0, 
2022, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2023, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2024, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2025, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2026, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2027, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2028, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2029, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2030, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2031, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2032, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2033, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2034, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2035, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2036, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2037, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2038, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2039, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2040, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2041, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2042, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2043, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2044, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2045, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2046, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2047, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2048, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2049, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2050, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2051, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2052, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2053, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2054, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2055, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2056, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2057, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2058, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2059, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2060, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2061, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2062, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2063, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2064, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2065, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2066, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2067, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2068, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2069, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2070, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2071, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2072, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2073, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2074, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2075, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2076, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2077, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
2078, ecoregion1, 1, 126, 15.36, 41, 287, 0, 
