Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 3990.2, 10923, 0, 3.5, 914.6, 
10, -61, 3914, 5724.1, 162.8, 5.71, 348.8, 
20, -21.8, 4089, 6936.6, 162.1, 6.98, 299.9, 
30, -33.5, 4368.7, 7303.5, 196.5, 6.83, 383.7, 
40, -231.2, 4562.2, 7669.3, 524.2, 6.22, 269.3, 
50, -61.1, 4731.6, 7920.7, 257.2, 6.97, 310.2, 
60, -53.7, 4974.9, 8341.1, 261.9, 6.86, 333, 
70, -46.4, 5182.6, 8481.4, 263.1, 6.84, 342.3, 
80, -41, 5338.1, 8421.6, 261.6, 6.9, 341.3, 
90, -24.9, 5467.2, 8249.6, 248.1, 7.16, 340.1, 
100, -18.5, 5603.1, 8191.6, 246.5, 7.17, 349.9, 
