Iteration,ManagementArea,ActivatedDOValues,ActivatedDO,MatchedDO,MostImportantGoal,TotalNumberOfDO,BiomassHarvested,ManageAreaMaturityPercent,Biomass
1,4,100,MM30-1_DO1,MM30-1_DO1,G3,1,0,94.813736100381149,5394479.7149999999
2,4,100,MM30-1_DO1,MM30-1_DO1,G3,1,8172260.8799999999,24.554951520416353,1308349.2749999999
3,4,100,MM30-1_DO1,MM30-1_DO1,G3,1,0,24.910633095701712,1372859.1899999999
4,4,100,MM30-1_DO1,MM30-1_DO1,G3,1,248193.42000000001,19.27407289165588,1248696.1299999999
5,4,100,MM30-1_DO1,MM30-1_DO1,G3,1,0,19.183654486113621,1420836.7549999999
6,4,100,MM30-1_DO1,MM30-1_DO1,G3,1,0,19.183654486113621,1420836.7549999999
7,4,100,MM30-1_DO1,MM30-1_DO1,G3,1,0,72.791564170018574,1578831.2350000001
8,4,100,MM30-1_DO1,MM30-1_DO1,G3,1,0,72.791564170018574,1578831.2350000001
9,4,100,MM30-1_DO1,MM30-1_DO1,G3,1,0,97.252092943232839,2044959.1850000001
10,4,100,MM30-1_DO1,MM30-1_DO1,G3,1,1320616.45,23.590651259923721,1383994.98
11,4,100,MM30-1_DO1,MM30-1_DO1,G3,1,0,24.982718467349923,1539249.01
12,4,100,MM30-1_DO1,MM30-1_DO1,G3,1,161244.82999999999,19.437565750076661,1458575.7549999999
13,4,100,MM30-1_DO1,MM30-1_DO1,G3,1,0,19.445371100513139,1632235.45
14,4,100,MM30-1_DO1,MM30-1_DO1,G3,1,0,19.445371100513139,1632235.45
15,4,100,MM30-1_DO1,MM30-1_DO1,G3,1,0,72.79532019937237,1818442.98
16,4,100,MM30-1_DO1,MM30-1_DO1,G3,1,0,72.79532019937237,1818442.98
17,4,100,MM30-1_DO1,MM30-1_DO1,G3,1,0,97.426924258813727,2073793.96
18,4,100,MM30-1_DO1,MM30-1_DO1,G3,1,1169051.01,23.610519382135983,1488623.2749999999
19,4,100,MM30-1_DO1,MM30-1_DO1,G3,1,0,25.109452465780336,1606779.845
20,4,100,MM30-1_DO1,MM30-1_DO1,G3,1,133958,19.49288109902259,1539752.3300000001
